period,group,mean_anxiety,sem_low_anxiety,sem_high_anxiety,mean_comorbid,sem_low_comorbid,sem_high_anxiety,mean_depression,sem_low_depression,sem_high_depression,mean_eating,sem_low_eating,sem_high_eating,mean_hc,sem_low_hc,sem_high_hc,mean_substance,sem_low_substance,sem_high_substance,,,,,,,,,,,,
1,Anxiety,-0.210526316,-0.470743806,0.049691174,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Anxiety,0.368421053,0.112376853,0.624465253,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Anxiety,-0.263157895,-0.576991995,0.050676205,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Anxiety,-0.315789474,-0.817556124,0.185977176,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Anxiety,0.315789474,4E-09,0.631578944,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Anxiety,-0.529411765,-1.000000005,-0.058823525,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Anxiety,0.636363636,-0.164462384,1.437189656,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Anxiety,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Comorbid Depression + Anxiety,,,,0,-0.09663574,0.09663574,,,,,,,,,,,,,,,,,,,,,,,,
2,Comorbid Depression + Anxiety,,,,0.410714286,0.287395726,0.534032846,,,,,,,,,,,,,,,,,,,,,,,,
3,Comorbid Depression + Anxiety,,,,0.577380952,0.467135542,0.687626362,,,,,,,,,,,,,,,,,,,,,,,,
4,Comorbid Depression + Anxiety,,,,0.452380952,0.310142962,0.594618942,,,,,,,,,,,,,,,,,,,,,,,,
5,Comorbid Depression + Anxiety,,,,0.311377246,0.177912386,0.444842106,,,,,,,,,,,,,,,,,,,,,,,,
6,Comorbid Depression + Anxiety,,,,0.276422764,0.125323534,0.427521994,,,,,,,,,,,,,,,,,,,,,,,,
7,Comorbid Depression + Anxiety,,,,0.839506173,0.629820353,1.049191993,,,,,,,,,,,,,,,,,,,,,,,,
8,Comorbid Depression + Anxiety,,,,0.720930233,0.514914443,0.926946023,,,,,,,,,,,,,,,,,,,,,,,,
1,Depression,,,,,,,-0.106666667,-0.231974697,0.018641363,,,,,,,,,,,,,,,,,,,,,
2,Depression,,,,,,,-0.093333333,-0.260097273,0.073430607,,,,,,,,,,,,,,,,,,,,,
3,Depression,,,,,,,0.213333333,0.068396773,0.358269893,,,,,,,,,,,,,,,,,,,,,
4,Depression,,,,,,,-0.133333333,-0.351708443,0.085041777,,,,,,,,,,,,,,,,,,,,,
5,Depression,,,,,,,-0.066666667,-0.281716067,0.148382733,,,,,,,,,,,,,,,,,,,,,
6,Depression,,,,,,,0.183333333,-0.035151007,0.401817673,,,,,,,,,,,,,,,,,,,,,
7,Depression,,,,,,,0.697674419,0.443071429,0.952277409,,,,,,,,,,,,,,,,,,,,,
8,Depression,,,,,,,0.615384615,0.286859135,0.943910095,,,,,,,,,,,,,,,,,,,,,
1,Eating +,,,,,,,,,,-1.263157895,-1.514959655,-1.011356135,,,,,,,,,,,,,,,,,,
2,Eating +,,,,,,,,,,-0.421052632,-0.842105262,-2E-09,,,,,,,,,,,,,,,,,,
3,Eating +,,,,,,,,,,1.263157895,0.756811595,1.769504195,,,,,,,,,,,,,,,,,,
4,Eating +,,,,,,,,,,1.421052632,0.966602322,1.875502942,,,,,,,,,,,,,,,,,,
5,Eating +,,,,,,,,,,0.157894737,-0.296216813,0.612006287,,,,,,,,,,,,,,,,,,
6,Eating +,,,,,,,,,,0,-0.5,0.5,,,,,,,,,,,,,,,,,,
1,Healthy Control ,,,,,,,,,,,,,-0.423728814,-0.554373464,-0.293084164,,,,,,,,,,,,,,,
2,Healthy Control ,,,,,,,,,,,,,-0.508474576,-0.714140776,-0.302808376,,,,,,,,,,,,,,,
3,Healthy Control ,,,,,,,,,,,,,-0.474576271,-0.687204931,-0.261947611,,,,,,,,,,,,,,,
4,Healthy Control ,,,,,,,,,,,,,-0.745762712,-0.973311872,-0.518213552,,,,,,,,,,,,,,,
5,Healthy Control ,,,,,,,,,,,,,-0.491525424,-0.709604924,-0.273445924,,,,,,,,,,,,,,,
6,Healthy Control ,,,,,,,,,,,,,-0.763157895,-1.000000005,-0.526315785,,,,,,,,,,,,,,,
7,Healthy Control ,,,,,,,,,,,,,-0.947368421,-1.248182951,-0.646553891,,,,,,,,,,,,,,,
8,Healthy Control ,,,,,,,,,,,,,-0.25,-0.67861652,0.17861652,,,,,,,,,,,,,,,
1,Substance +,,,,,,,,,,,,,,,,0.006289308,-0.084482602,0.097061218,,,,,,,,,,,,
2,Substance +,,,,,,,,,,,,,,,,0.182389937,0.054995947,0.309783927,,,,,,,,,,,,
3,Substance +,,,,,,,,,,,,,,,,0.477987421,0.355051801,0.600923041,,,,,,,,,,,,
4,Substance +,,,,,,,,,,,,,,,,0.421383648,0.260435588,0.582331708,,,,,,,,,,,,
5,Substance +,,,,,,,,,,,,,,,,1.427672956,1.251137846,1.604208066,,,,,,,,,,,,
6,Substance +,,,,,,,,,,,,,,,,1.57037037,1.37891649,1.76182425,,,,,,,,,,,,
7,Substance +,,,,,,,,,,,,,,,,1.05,0.75558398,1.34441602,,,,,,,,,,,,
8,Substance +,,,,,,,,,,,,,,,,1,0.64435662,1.35564338,,,,,,,,,,,,